,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement
161,Springfield Gardens South-Brookville,0.125,0.125,0.5,0.0,0.0625,0.0625,0.125,0.0
162,Spuyten Duyvil-Kingsbridge,0.0526315789474,0.0526315789474,0.157894736842,0.157894736842,0.473684210526,0.105263157895,0.0,0.0
163,St. Albans,0.244444444444,0.0444444444444,0.4,0.0222222222222,0.0888888888889,0.0444444444444,0.0666666666667,0.0888888888889
164,Stapleton-Rosebank,0.3125,0.0,0.0625,0.1875,0.1875,0.0,0.0625,0.1875
165,Starrett City,0.571428571429,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.0
166,Steinway,0.142857142857,0.107142857143,0.214285714286,0.107142857143,0.0714285714286,0.25,0.0,0.107142857143
167,Stuyvesant Heights,0.142857142857,0.0,0.0,0.2,0.0285714285714,0.0857142857143,0.0,0.542857142857
168,Stuyvesant Town-Cooper Village,0.142857142857,0.142857142857,0.0,0.142857142857,0.285714285714,0.142857142857,0.0,0.142857142857
169,Sunset Park East,0.193548387097,0.0322580645161,0.0645161290323,0.322580645161,0.0322580645161,0.0,0.0,0.354838709677
170,Sunset Park West,0.030303030303,0.0909090909091,0.0606060606061,0.151515151515,0.0606060606061,0.212121212121,0.0,0.393939393939
171,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.333333333333,0.0,0.185185185185,0.0,0.296296296296,0.0,0.185185185185,0.0
172,Turtle Bay-East Midtown,0.0,0.181818181818,0.318181818182,0.0,0.363636363636,0.0909090909091,0.0454545454545,0.0
173,University Heights-Morris Heights,0.192307692308,0.0,0.0769230769231,0.269230769231,0.0,0.0384615384615,0.0,0.423076923077
174,Upper East Side-Carnegie Hill,0.0,0.178571428571,0.357142857143,0.0,0.392857142857,0.0,0.0714285714286,0.0
175,Upper West Side,0.0952380952381,0.190476190476,0.0952380952381,0.0,0.380952380952,0.0952380952381,0.047619047619,0.0952380952381
176,Van Cortlandt Village,0.15,0.05,0.05,0.3,0.1,0.15,0.0,0.2
177,Van Nest-Morris Park-Westchester Square,0.0277777777778,0.166666666667,0.111111111111,0.166666666667,0.194444444444,0.222222222222,0.0833333333333,0.0277777777778
178,Washington Heights North,0.111111111111,0.0,0.111111111111,0.333333333333,0.0555555555556,0.0555555555556,0.0,0.333333333333
179,Washington Heights South,0.0,0.0,0.0526315789474,0.368421052632,0.0,0.0526315789474,0.0,0.526315789474
180,West Brighton,0.583333333333,0.0,0.0,0.166666666667,0.0,0.0833333333333,0.0,0.166666666667
181,Westchester-Unionport,0.210526315789,0.157894736842,0.0526315789474,0.263157894737,0.0526315789474,0.157894736842,0.105263157895,0.0
182,West Concourse,0.125,0.0,0.0,0.5,0.0416666666667,0.0416666666667,0.0,0.291666666667
183,Westerleigh,0.388888888889,0.0555555555556,0.222222222222,0.0555555555556,0.166666666667,0.0,0.0555555555556,0.0555555555556
184,West Farms-Bronx River,0.222222222222,0.0,0.0,0.444444444444,0.0,0.111111111111,0.0555555555556,0.166666666667
185,West New Brighton-New Brighton-St. George,0.5,0.0,0.0909090909091,0.136363636364,0.0454545454545,0.0454545454545,0.0454545454545,0.136363636364
186,West Village,0.0,0.291666666667,0.0416666666667,0.0416666666667,0.375,0.0416666666667,0.0833333333333,0.125
187,Whitestone,0.176470588235,0.0588235294118,0.294117647059,0.0,0.352941176471,0.0,0.117647058824,0.0
188,Williamsbridge-Olinville,0.0882352941176,0.0588235294118,0.205882352941,0.147058823529,0.205882352941,0.117647058824,0.0882352941176,0.0882352941176
189,Williamsburg,0.176470588235,0.0,0.0,0.352941176471,0.0,0.117647058824,0.0,0.352941176471
190,Windsor Terrace,0.0,0.0666666666667,0.133333333333,0.0666666666667,0.333333333333,0.2,0.0666666666667,0.133333333333
191,Woodhaven,0.363636363636,0.0,0.030303030303,0.151515151515,0.121212121212,0.0909090909091,0.121212121212,0.121212121212
192,Woodlawn-Wakefield,0.206896551724,0.0689655172414,0.0689655172414,0.103448275862,0.310344827586,0.0344827586207,0.0689655172414,0.137931034483
193,Woodside,0.24,0.0,0.12,0.2,0.04,0.2,0.0,0.2
194,Yorkville,0.0,0.176470588235,0.294117647059,0.0588235294118,0.294117647059,0.0,0.0588235294118,0.117647058824
